Portfolio,Agency,Account,Type,Opening Balance ($'000),Receipts (Non Appropriated) ($'000),Receipts (Appropriated) ($'000),Payments ($'000),Adjustments ($'000),Closing Balance ($'000)
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Agriculture Future Drought Resilience Special Account,Agency Resourcing 2024-2025,13286,100000,0,-57914,0,55372
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",Agriculture Future Drought Resilience Special Account,Estimated Actual 2023-2024,70573,100323,0,-157610,0,13286
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Biosecurity, Imported Food and Export Certification Special Account 2020",Agency Resourcing 2024-2025,9165,553642,92413,-646055,0,9165
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry","Biosecurity, Imported Food and Export Certification Special Account 2020",Estimated Actual 2023-2024,9165,506620,92124,-598744,0,9165
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Cattle Disease Eradication Account,Agency Resourcing 2024-2025,0,0,0,0,0,0
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Cattle Disease Eradication Account,Estimated Actual 2023-2024,15,0,0,-15,0,0
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Residue Survey Account,Agency Resourcing 2024-2025,2661,28071,0,-28071,0,2661
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO","Department of Agriculture, Fisheries and Forestry",National Residue Survey Account,Estimated Actual 2023-2024,2661,29197,0,-29197,0,2661
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,"Total: Department of Agriculture, Fisheries and Forestry",Agency Resourcing 2024-2025,25112,681713,92413,-732040,0,67198
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,"Total: Department of Agriculture, Fisheries and Forestry",Estimated Actual 2023-2024,82414,636140,92124,-785566,0,25112
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",Australian Fisheries Management Authority,AFMA Special Account,Agency Resourcing 2024-2025,11614,19667,27741,-47708,0,11314
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",Australian Fisheries Management Authority,AFMA Special Account,Estimated Actual 2023-2024,13010,18146,26910,-46452,0,11614
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,Total: Australian Fisheries Management Authority,Agency Resourcing 2024-2025,11614,19667,27741,-47708,0,11314
"AGRICULTURE, FISHERIES AND FORESTRY PORTFOLIO",,Total: Australian Fisheries Management Authority,Estimated Actual 2023-2024,13010,18146,26910,-46452,0,11614
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,Attorney-General's Department SOETM Special Account 2021,Agency Resourcing 2024-2025,1631,1039,0,-1039,0,1631
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,Attorney-General's Department SOETM Special Account 2021,Estimated Actual 2023-2024,1631,1039,0,-1039,0,1631
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,POCA Programs Special Account 2018,Agency Resourcing 2024-2025,6292,28529,0,-29546,0,5275
ATTORNEY-GENERAL'S PORTFOLIO,Attorney-General's Department,POCA Programs Special Account 2018,Estimated Actual 2023-2024,11840,47751,0,-53299,0,6292
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Attorney-General's Department,Agency Resourcing 2024-2025,7923,29568,0,-30585,0,6906
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Attorney-General's Department,Estimated Actual 2023-2024,13471,48790,0,-54338,0,7923
ATTORNEY-GENERAL'S PORTFOLIO,Australian Criminal Intelligence Commission,National Policing Information Systems and Services Special Account,Agency Resourcing 2024-2025,97582,147719,25946,-181974,0,89273
ATTORNEY-GENERAL'S PORTFOLIO,Australian Criminal Intelligence Commission,National Policing Information Systems and Services Special Account,Estimated Actual 2023-2024,142955,142630,19713,-207716,0,97582
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Criminal Intelligence Commission,Agency Resourcing 2024-2025,97582,147719,25946,-181974,0,89273
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Criminal Intelligence Commission,Estimated Actual 2023-2024,142955,142630,19713,-207716,0,97582
ATTORNEY-GENERAL'S PORTFOLIO,Australian Federal Police,Australian Federal Police SOETM Special Account 2021,Agency Resourcing 2024-2025,15671,9536,1616,-53747,42595,15671
ATTORNEY-GENERAL'S PORTFOLIO,Australian Federal Police,Australian Federal Police SOETM Special Account 2021,Estimated Actual 2023-2024,15671,11488,1600,-50115,37027,15671
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Federal Police,Agency Resourcing 2024-2025,15671,9536,1616,-53747,42595,15671
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Federal Police,Estimated Actual 2023-2024,15671,11488,1600,-50115,37027,15671
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Common Investment Fund Equalisation Account,Agency Resourcing 2024-2025,98,324,0,-324,0,98
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Common Investment Fund Equalisation Account,Estimated Actual 2023-2024,98,318,0,-318,0,98
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Confiscated Assets Account,Agency Resourcing 2024-2025,147006,60123,0,-81844,0,125285
ATTORNEY-GENERAL'S PORTFOLIO,Australian Financial Security Authority,Confiscated Assets Account,Estimated Actual 2023-2024,169763,58884,0,-81641,0,147006
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Financial Security Authority,Agency Resourcing 2024-2025,147104,60447,0,-82168,0,125383
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Financial Security Authority,Estimated Actual 2023-2024,169861,59202,0,-81959,0,147104
ATTORNEY-GENERAL'S PORTFOLIO,Australian Institute of Criminology,Criminology Research Special Account,Agency Resourcing 2024-2025,3770,593,0,-593,0,3770
ATTORNEY-GENERAL'S PORTFOLIO,Australian Institute of Criminology,Criminology Research Special Account,Estimated Actual 2023-2024,4152,661,0,-1043,0,3770
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Institute of Criminology,Agency Resourcing 2024-2025,3770,593,0,-593,0,3770
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Institute of Criminology,Estimated Actual 2023-2024,4152,661,0,-1043,0,3770
ATTORNEY-GENERAL'S PORTFOLIO,Australian Law Reform Commission,Law Reform Special Account,Agency Resourcing 2024-2025,1414,0,2693,-2693,0,1414
ATTORNEY-GENERAL'S PORTFOLIO,Australian Law Reform Commission,Law Reform Special Account,Estimated Actual 2023-2024,1414,0,2663,-2663,0,1414
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Law Reform Commission,Agency Resourcing 2024-2025,1414,0,2693,-2693,0,1414
ATTORNEY-GENERAL'S PORTFOLIO,,Total: Australian Law Reform Commission,Estimated Actual 2023-2024,1414,0,2663,-2663,0,1414
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation Special Account,Agency Resourcing 2024-2025,24024000,350000,399167,-2555000,0,22218167
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Clean Energy Finance Corporation Special Account,Estimated Actual 2023-2024,16574000,400000,8070000,-1020000,0,24024000
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Energy and Climate Change Special Account 2023,Agency Resourcing 2024-2025,14463,0,8771,-8771,0,14463
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Energy and Climate Change Special Account 2023,Estimated Actual 2023-2024,0,4159,11627,-14340,13017,14463
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Energy Special Account 2015,Agency Resourcing 2024-2025,0,0,0,0,0,0
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Energy Special Account 2015,Estimated Actual 2023-2024,13017,0,0,0,-13017,0
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Environmental Water Holdings Special Account,Agency Resourcing 2024-2025,81253,0,47808,-64470,0,64591
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Environmental Water Holdings Special Account,Estimated Actual 2023-2024,102151,0,46548,-67446,0,81253
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",National Environment Protection Council Special Account,Agency Resourcing 2024-2025,5530,0,676,-676,0,5530
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",National Environment Protection Council Special Account,Estimated Actual 2023-2024,5530,0,574,-574,0,5530
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Natural Heritage Trust of Australia Account,Agency Resourcing 2024-2025,463006,0,210203,-241531,0,431678
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Natural Heritage Trust of Australia Account,Estimated Actual 2023-2024,457545,0,179222,-173761,0,463006
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Ozone Protection and SGG Account,Agency Resourcing 2024-2025,39835,13450,0,-18800,0,34485
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Ozone Protection and SGG Account,Estimated Actual 2023-2024,42330,14800,0,-17295,0,39835
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Reef Trust Special Account 2014,Agency Resourcing 2024-2025,24978,0,134560,-146602,0,12936
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Reef Trust Special Account 2014,Estimated Actual 2023-2024,29598,1511,48483,-54614,0,24978
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Rewiring the Nation Special Account 2023,Agency Resourcing 2024-2025,644080,0,250000,-161360,0,732720
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Rewiring the Nation Special Account 2023,Estimated Actual 2023-2024,0,0,750000,-105920,0,644080
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Water for the Environment Special Account,Agency Resourcing 2024-2025,1264771,0,221540,-613400,0,872911
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Water for the Environment Special Account,Estimated Actual 2023-2024,1351108,0,0,-116337,30000,1264771
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Water Resources Special Account 2016,Agency Resourcing 2024-2025,2633,914,698,-2576,0,1669
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",Water Resources Special Account 2016,Estimated Actual 2023-2024,2945,824,891,-2027,0,2633
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",WELS Account,Agency Resourcing 2024-2025,2822,1885,239,-3431,0,1515
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO","Department of Climate Change, Energy, the Environment and Water",WELS Account,Estimated Actual 2023-2024,4558,1856,229,-3821,0,2822
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,"Total: Department of Climate Change, Energy, the Environment and Water",Agency Resourcing 2024-2025,26567371,366249,1273662,-3816617,0,24390665
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,"Total: Department of Climate Change, Energy, the Environment and Water",Estimated Actual 2023-2024,18582782,423150,9107574,-1576135,30000,26567371
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Clean Energy Regulator,Renewable Energy Special Account,Agency Resourcing 2024-2025,117192,3500,0,-3500,0,117192
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Clean Energy Regulator,Renewable Energy Special Account,Estimated Actual 2023-2024,117192,3500,0,-3500,0,117192
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,Total: Clean Energy Regulator,Agency Resourcing 2024-2025,117192,3500,0,-3500,0,117192
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,Total: Clean Energy Regulator,Estimated Actual 2023-2024,117192,3500,0,-3500,0,117192
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Great Barrier Reef Marine Park Authority,Great Barrier Reef Field Management Special Account,Agency Resourcing 2024-2025,5994,19305,19128,-42433,0,1994
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",Great Barrier Reef Marine Park Authority,Great Barrier Reef Field Management Special Account,Estimated Actual 2023-2024,28485,21032,19059,-62582,0,5994
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,Total: Great Barrier Reef Marine Park Authority,Agency Resourcing 2024-2025,5994,19305,19128,-42433,0,1994
"CLIMATE CHANGE, ENERGY, THE ENVIRONMENT AND WATER PORTFOLIO",,Total: Great Barrier Reef Marine Park Authority,Estimated Actual 2023-2024,28485,21032,19059,-62582,0,5994
DEFENCE PORTFOLIO,Department of Defence,"Defence Endowments, Bequests and Other Trust Moneys Special Account 2019",Agency Resourcing 2024-2025,85576,273151,0,-305192,0,53535
DEFENCE PORTFOLIO,Department of Defence,"Defence Endowments, Bequests and Other Trust Moneys Special Account 2019",Estimated Actual 2023-2024,178322,67466,0,-160212,0,85576
DEFENCE PORTFOLIO,,Total: Department of Defence,Agency Resourcing 2024-2025,85576,273151,0,-305192,0,53535
DEFENCE PORTFOLIO,,Total: Department of Defence,Estimated Actual 2023-2024,178322,67466,0,-160212,0,85576
DEFENCE PORTFOLIO,Australian Signals Directorate,ASD Trust and Other Moneys Special Account 2018,Agency Resourcing 2024-2025,19708,0,0,0,0,19708
DEFENCE PORTFOLIO,Australian Signals Directorate,ASD Trust and Other Moneys Special Account 2018,Estimated Actual 2023-2024,19708,0,0,0,0,19708
DEFENCE PORTFOLIO,,Total: Australian Signals Directorate,Agency Resourcing 2024-2025,19708,0,0,0,0,19708
DEFENCE PORTFOLIO,,Total: Australian Signals Directorate,Estimated Actual 2023-2024,19708,0,0,0,0,19708
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Defence Service Homes Insurance Account,Agency Resourcing 2024-2025,26723,116265,120,-116291,0,26817
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Defence Service Homes Insurance Account,Estimated Actual 2023-2024,26629,107434,120,-107460,0,26723
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Department of Veterans' Affairs SOETM Special Account 2022,Agency Resourcing 2024-2025,289,45,0,-45,0,289
DEFENCE PORTFOLIO,Department of Veterans' Affairs,Department of Veterans' Affairs SOETM Special Account 2022,Estimated Actual 2023-2024,289,35,0,-35,0,289
DEFENCE PORTFOLIO,,Total: Department of Veterans' Affairs,Agency Resourcing 2024-2025,27012,116310,120,-116336,0,27106
DEFENCE PORTFOLIO,,Total: Department of Veterans' Affairs,Estimated Actual 2023-2024,26918,107469,120,-107495,0,27012
EDUCATION PORTFOLIO,Department of Education,Early Years Quality Fund Special Account,Agency Resourcing 2024-2025,42135,0,0,0,0,42135
EDUCATION PORTFOLIO,Department of Education,Early Years Quality Fund Special Account,Estimated Actual 2023-2024,42135,0,0,0,0,42135
EDUCATION PORTFOLIO,Department of Education,Education SOETM Special Account 2018,Agency Resourcing 2024-2025,2859,830,229,-1500,0,2418
EDUCATION PORTFOLIO,Department of Education,Education SOETM Special Account 2018,Estimated Actual 2023-2024,3599,830,230,-1800,0,2859
EDUCATION PORTFOLIO,Department of Education,Higher Education Tuition Protection Fund,Agency Resourcing 2024-2025,12653,6372,0,-3620,-825,14580
EDUCATION PORTFOLIO,Department of Education,Higher Education Tuition Protection Fund,Estimated Actual 2023-2024,9923,5935,1000,-3390,-815,12653
EDUCATION PORTFOLIO,Department of Education,Overseas Students Tuition Fund,Agency Resourcing 2024-2025,45612,4000,0,-3875,0,45737
EDUCATION PORTFOLIO,Department of Education,Overseas Students Tuition Fund,Estimated Actual 2023-2024,45899,3500,0,-3787,0,45612
EDUCATION PORTFOLIO,,Total: Department of Education,Agency Resourcing 2024-2025,103259,11202,229,-8995,-825,104870
EDUCATION PORTFOLIO,,Total: Department of Education,Estimated Actual 2023-2024,101556,10265,1230,-8977,-815,103259
EDUCATION PORTFOLIO,Australian Research Council,ARC Research Endowment Account,Agency Resourcing 2024-2025,2120,0,0,0,0,2120
EDUCATION PORTFOLIO,Australian Research Council,ARC Research Endowment Account,Estimated Actual 2023-2024,2120,0,0,0,0,2120
EDUCATION PORTFOLIO,,Total: Australian Research Council,Agency Resourcing 2024-2025,2120,0,0,0,0,2120
EDUCATION PORTFOLIO,,Total: Australian Research Council,Estimated Actual 2023-2024,2120,0,0,0,0,2120
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Student Identifiers Special Account,Agency Resourcing 2024-2025,5727,0,8446,-8446,0,5727
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,Student Identifiers Special Account,Estimated Actual 2023-2024,5727,0,10993,-10993,0,5727
EMPLOYMENT AND WORKPLACE RELATIONS PORTFOLIO,Department of Employment and Workplace Relations,VSL Tuition Protection Fund,Agency Resourcing 2024-2025,10362,3292,531,-2687,-493,11005
